accD	atpA	atpB	atpE	atpF	atpH	atpI	ccsA	cemA	chlI	clpP	infA	petA	petB	petD	petG	petL	psaA	psaB	psaC	psaI	psaJ	psaM	psbA	psbB	psbC	psbD	psbE	psbF	psbH	psbI	psbJ	psbK	psbL	psbM	psbN	psbT	psbZ	rbcL	rpl12	rpl14	rpl16	rpl19	rpl2	rpl20	rpl23	rpl32	rpl36	rpl5	rpoA	rpoB	rpoC1	rpoC2	rps11	rps12	rps14	rps18	rps19	rps2	rps3	rps4	rps7	rps8	rps9	tufA	ycf1	ycf12	ycf20	ycf3	ycf4	cp_mt_ML	atp1	atp4	atp6	atp8	atp9	cob	cox1	cox2	cox3	nad1	nad2	nad3	nad4	nad4L	nad5	nad6	nad7	rpl14 	rpl16 	rpl5 	rps10	rps11 	rps12 	rps13	rps14 	rps19 	rps2 	rps3 	rps4 
psbJ	48	56	50	48	50	52	48	52	44	46	48	54	42	54	50	58	44	50	52	54	58	52	44	46	48	46	50	58	56	54	54	0	58	56	58	58	50	58	54	54	54	54	52	58	58	48	50	52	40	50	50	50	42	50	50	48	54	54	54	54	50	52	48	54	50	54	62	46	50	50	52	34	32	34	34	32	34	30	34	36	36	36	36	34	38	34	32	36	36	34	34	26	36	36	34	30	34	32	20	28
psbK	52	48	50	46	52	54	50	54	50	52	50	52	40	58	58	60	44	48	48	54	58	54	46	56	50	42	48	62	64	52	56	58	0	60	64	50	48	54	46	54	52	52	50	46	56	50	44	52	44	48	46	46	36	52	42	56	54	50	44	48	58	52	52	54	50	48	58	46	42	50	48	26	22	24	24	28	26	24	28	32	28	26	36	26	32	28	30	26	28	26	24	20	32	30	28	22	26	24	16	24
psbL	54	56	56	52	52	54	52	54	50	50	54	54	44	54	54	58	46	54	54	54	60	54	48	52	54	46	54	58	56	54	52	56	60	0	58	54	50	56	54	54	54	54	54	56	60	48	50	54	44	50	50	50	42	54	48	54	52	54	54	56	56	54	54	56	54	54	62	48	52	50	54	36	34	36	34	36	36	30	36	36	36	36	38	36	40	36	34	36	36	36	34	28	36	36	34	30	34	34	22	30
psbM	52	52	56	54	48	54	44	50	46	46	52	50	44	48	52	50	44	50	50	50	58	50	48	54	52	48	50	50	54	52	54	58	64	58	0	58	50	60	54	52	52	52	50	54	56	48	48	52	44	48	48	46	40	52	44	52	54	54	54	54	50	52	50	54	52	50	56	46	48	46	50	32	28	34	28	36	30	28	34	34	32	34	32	36	34	34	28	34	32	34	30	22	36	32	26	28	28	28	16	20
psbN	46	44	42	44	46	46	46	46	44	46	44	50	40	46	46	56	38	46	46	44	56	46	42	48	46	40	48	50	54	42	52	58	50	54	58	0	46	46	46	46	44	48	48	46	48	44	40	46	40	44	44	42	32	48	38	44	44	46	46	46	50	42	46	48	48	44	60	36	46	44	46	28	28	28	26	28	28	22	28	30	28	28	30	28	32	28	28	28	30	28	26	22	28	28	26	18	26	26	14	22
psbT	48	46	46	46	44	46	46	46	42	44	46	46	38	48	48	46	48	46	46	46	48	44	48	48	46	40	46	50	50	46	50	50	48	50	50	46	0	48	46	46	46	46	46	46	46	44	48	46	40	44	42	44	40	48	42	48	48	48	46	46	48	48	48	48	46	46	46	48	42	42	46	30	28	30	28	32	32	24	32	30	32	30	34	30	32	30	30	30	30	30	30	24	30	30	28	24	28	28	16	24
psbZ	44	48	44	40	40	52	48	48	44	44	48	52	38	50	42	56	40	40	38	46	58	50	40	46	42	38	44	54	56	48	48	58	54	56	60	46	48	0	40	52	40	42	42	38	52	44	44	44	40	44	42	34	32	46	34	42	42	46	42	48	44	48	50	48	44	42	58	46	44	44	42	24	24	24	24	28	24	22	28	24	24	24	30	22	28	24	24	24	26	26	24	16	24	22	22	20	18	24	14	20
rbcL	24	28	24	24	24	40	32	30	30	22	28	32	22	28	24	52	30	16	18	34	50	44	36	44	22	20	22	44	50	28	46	54	46	54	54	46	46	40	0	26	34	20	22	22	32	28	32	32	30	26	22	22	12	28	16	32	34	28	16	30	32	30	32	30	14	20	54	30	24	30	22	14	16	18	16	28	18	16	20	22	20	20	24	12	30	22	22	20	26	20	18	10	24	16	20	12	18	16	10	18
rpl12	28	30	34	34	26	42	30	24	26	22	30	34	16	24	28	50	22	24	28	38	56	44	40	40	28	24	24	46	50	34	46	54	54	54	52	46	46	52	26	0	34	28	24	34	36	14	30	36	24	26	26	24	22	28	22	38	34	36	24	34	30	28	26	30	26	26	54	22	26	26	24	14	18	22	18	24	22	16	12	18	20	20	18	20	30	20	20	20	26	16	18	12	22	20	18	16	20	16	10	16
rpl14	30	32	36	30	30	42	32	32	26	30	30	40	18	36	28	44	22	26	28	30	50	38	38	32	32	32	38	46	48	36	40	54	52	54	52	44	46	40	34	34	0	38	34	30	40	34	36	34	26	26	30	26	18	32	26	32	36	40	32	34	38	32	34	38	36	28	54	30	30	26	28	18	18	24	22	24	24	22	24	20	24	24	20	20	30	22	22	24	30	22	22	10	20	18	20	16	18	20	14	16
